Catalogue number,State,Country,county,latitude,longitude,Zones,Taxon
UF 8736,FL,USA,Levy county,29.3008632,-82.7824592,Wet Plains,Odocoileus virginianus
UF 8740,WY,USA,Niobrara county,43.0087581,-104.4565524,Mixed Plains,Odocoileus virginianus
UF 9507,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 9508,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 9508,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 9508,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 9508,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 9508,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 9508,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 9508,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 9509,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 9510,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9516,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9518,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9519,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9521,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9522,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9523,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9524,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9525,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9527,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
