Catalogue Number,Taxon,date ,ecological zone,Zones,meanannual,subspecies,State,county,Sex,Mesowear Score m1 (R),Part Scored,Mesowear Score m1 (L),Part Scored,AverageMSm1,Mesowear Score m2 (R),Part Scored,Mesowear Score m2 (L),Part Scored,AverageMSm2,Mesowear Score m3 (R),Part Scored,Mesowear Score m3 (L),AverageMSm3,Part Scored,Mesowear Score M1 (R),Part Scored,Mesowear Score M1 (L),Part Scored,Mesowear Score M2 (R),Part Scored,Mesowear Score M2 (L),part scored,Mesowear score M3 (R),Part Scored,Mesowear Score M3 (L),Part Scored,Man m3 Width mm,Man m3 Height mm,Man m2 width ,Man m2 Height ,Man m1 width ,Man m1 Height ,m2 mesiodistal length (R),m2 mesiodistal length (L),m3 mesiodistal length (R),m3 mesiodistal length (L),HIm3,HIm2,HIm1,Height / Mesiodistal Length m2,Left Premolar Row Length (Maxilla) mm,Left Premolar Row Length (Mandible) mm,Skull Length mm,Muzzle Width mm,Palate Width mm,Anterior Jaw Maxilla mm,Anterior Jaw Mandible mm,Length of Molar Row (L Man) (mm),Height of Man behind M3 L (mm),Height of Man infront M1 L (mm),Length of L Man (mm),gonion ventrale–coronion L Man (mm),
UF 8724,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,,1,metaconid,1,entoconid,1,0,entoconid,1,metaconid,0.5,0,entoconid,,0,,,,,,,,,,,,,,9.9,10.1,9.39,9.95,7.7,7.45,14.74,,20.91,19.19,1.02020202,1.05963791,0.96753247,0.675033921,,,,,,,,,,,,,
UF 8724,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,,,,,,,,,1,metaconid,1,,,1,1,metaconid,,,,,,,,,,,,,9.71,10.43,10.16,11.57,,,,14.79,,19.52,1.07415036,1.13877953,,,,,,,,,,,,,,,
UF 8724,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,,,,,,,,,1,metaconid,1,1,metaconid,1,1,metaconid,,,,,,,,,,,,,10.69,11.46,10.75,11.15,,,,14.58,,18.85,1.07202993,1.0372093,,,,,,,,,,,,,,,
UF 8724,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,,,,1,entoconid,1,,,1,entoconid,1,,,1,1,entoconid,,,,,,,,,,,,,9.69,10.18,10.51,12.59,8.79,9.36,,15.84,,18.75,1.0505676,1.19790676,1.06484642,,,,,,,,,,,,,,
UF 8724,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,M,1,entoconid,2,entoconid,1.5,1,entoconid,1,metaconid,1,1,metaconid,1,1,metaconid,,,,,,,,,,,,,10.41,8.61,10.7,9.86,9.58,7.53,16.13,,,,0.82708934,0.92149533,0.78601253,0.611283323,,,,,,,,,,,,,
UF 8726,Odocoileus virginianus,,8.5.1,Mixed Plains,1229,,FL,Citrus county,,1,entoconid,1,entoconid,1,0,metaconid,0,entoconid,0,0,entoconid,0,0,entoconid,,,,,,,,,,,,,10.09,8.76,10.47,8.13,8.58,7.22,,,,,0.86818632,0.7765043,0.84149184,,,,,,,,,,,,,,
UF 8726,Odocoileus virginianus,,8.5.1,Mixed Plains,1229,,FL,Citrus county,,,,,,,,,1,entoconid,1,,,1,1,entoconid,,,,,,,,,,,,,9.49,8.77,9.54,8.23,,,,,,,0.92413066,0.86268344,,,,,,,,,,,,,,,
UF 8726,Odocoileus virginianus,,8.5.1,Mixed Plains,1229,,FL,Citrus county,,0,metaconid,0,metaconid,0,0,metaconid,0,metaconid,0,0,entoconid,0,0,entoconid,,,,,,,,,,,,,10.13,10.84,10.46,11.02,8.75,8.07,,,,,1.07008885,1.05353728,,,,,,,,,,,,,,,
UF 8728,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Levy county,,0,entoconid,,,0,,,0,metaconid,0,0,entoconid,0,0,metaconid,,,,,,,,,,,,,8.97,9.53,9.46,11.37,8.57,9.55,16.77,17.19,19.31,18.17,1.06243032,1.20190275,1.11435239,0.677996422,,,,,,,,,,,,,
UF 8728,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Levy county,,1,entoconid,,,1,0,metaconid,0,metaconid,0,0,metaconid,0,0,metaconid,,,,,,,,,,,,,9.39,10.08,9.31,10.87,8.55,8.43,15.11,16.94,19.24,20,1.07348243,1.16756176,0.98596491,0.719391132,,,,,,,,,,,,,
UF 8728,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Levy county,,0,entoconid,0,entoconid,0,0,metaconid,0,metaconid,0,,,,,,,,,,,,,,,,,,11,8.72,10.92,11.01,9.23,7.85,15.19,16.04,21.51,21.02,0.79272727,1.00824176,0.85048754,0.72481896,,,,,,,,,,,,,
UF 8728,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Levy county,,0,entoconid,,,0,0,metaconid,,,0,1,metaconid,,1,,,,,,,,,,,,,,9.35,10.11,9.19,10.89,8.61,8.14,14.25,,17.53,,1.08128342,1.18498368,0.94541231,0.764210526,,,,,,,,,,,,,
UF 8728,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Levy county,,1,metaconid,,,1,1,metaconid,,,1,0,entoconid,,0,,,,,,,,,,,,,,9.65,10.98,9.91,10.86,9.03,9.42,15.81,,22.41,,1.13782383,1.09586276,1.04318937,0.686907021,,,,,,,,,,,,,
UF 8729,Odocoileus virginianus,,8.3.5,Mixed Plains,1358,,FL,Okaloosa county,,1,metaconid,1,metaconid,1,1,metaconid,1,metaconid,1,0,metaconid,0,0,metaconid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 8729,Odocoileus virginianus,,8.3.5,Mixed Plains,1358,,FL,Okaloosa county,,,,1,metaconid,1,,,1,metaconid,1,,,0,0,metaconid,,,,,,,,,,,,,10.48,11.74,10.31,10.59,9.26,9.96,,15.71,,20.69,1.12022901,1.0271581,1.07559395,,,,,,,,,,,,,,
UF 8729,Odocoileus virginianus,,8.3.5,Mixed Plains,1358,,FL,Okaloosa county,,2,entoconid,2,metaconid,2,1,metaconid,1,metaconid,1,1,metaconid,1,1,metaconid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 8729,Odocoileus virginianus,,8.3.5,Mixed Plains,1358,,FL,Okaloosa county,,,,1,metaconid,1,,,1,metaconid,1,,,1,1,metaconid,,,,,,,,,,,,,9.94,11.29,10.15,10.96,8.8,8.53,,15.91,,19.62,1.13581489,1.07980296,0.96931818,,,,,,,,,,,,,,
UF 8729,Odocoileus virginianus,,8.3.5,Mixed Plains,1358,,FL,Okaloosa county,,1,metaconid,,,1,1,entoconid,,,1,,,,,,,,,,,,,,,,,,8.6,12.13,8.51,9.72,8.14,8.08,16.09,,22.16,,1.41046512,1.14218566,0.99262899,0.604101927,,,,,,,,,,,,,
UF 8729,Odocoileus virginianus,,8.3.5,Mixed Plains,1358,,FL,Okaloosa county,,,,,,,0,entoconid,1,entoconid,0.5,1,entoconid,1,1,metaconid,,,,,,,,,,,,,9.62,8.9,9.11,9.07,8.5,7.84,18.69,,22.46,,0.92515593,0.99560922,0.92235294,0.485286249,,,,,,,,,,,,,
UF 8729,Odocoileus virginianus,,8.3.5,Mixed Plains,1358,,FL,Okaloosa county,,,,1,metaconid,1,,,0,entoconid,0,1,entoconid,1,1,entoconid,,,,,,,,,,,,,10.06,10.23,9.66,11.94,8.9,8.74,15.96,,22.33,,1.01689861,1.23602484,0.98202247,0.748120301,,,,,,,,,,,,,
UF 8729,Odocoileus virginianus,,8.3.5,Mixed Plains,1358,,FL,Okaloosa county,,1,metaconid,1,entoconid,1,0,entoconid,0,entoconid,0,0,metaconid,0,0,metaconid,,,,,,,,,,,,,9.48,11.62,9.67,9.49,8.65,7.79,15.75,,22.55,,1.2257384,0.98138573,0.90057803,0.602539683,,,,,,,,,,,,,
UF 8729,Odocoileus virginianus,,8.3.5,Mixed Plains,1358,,FL,Okaloosa county,,1,metaconid,1,metaconid,1,1,entoconid,1,entoconid,1,0,entoconid,1,0.5,entoconid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 8734,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Columbia county,,,,1,entoconid,1,1,entoconid,1,entoconid,1,1,metaconid,1,1,metaconid,,,,,,,,,,,,,10.12,10.87,9.96,10.36,8.3,7.55,,,,,1.07411067,1.04016064,0.90963855,,,,,,,,,,,,,,
UF 8734,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Columbia county,M,1,metaconid,,,1,1,metaconid,,,1,1,entoconid,,1,,,,,,,,,,,,,,10.47,10.19,10.32,11.78,8.95,8.78,,,,,0.97325692,1.14147287,0.98100559,,,,,,,,,,,,,,
UF 8734,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Columbia county,,,,,,,,,1,entoconid,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 8734,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Columbia county,M,1,entoconid,1,entoconid,1,0,entoconid,0,metaconid,0,0,entoconid,0,0,metaconid,,,,,,,,,,,,,8.77,10.85,9.04,9.78,8.11,7.51,,,,,1.23717218,1.08185841,0.92601726,,,,,,,,,,,,,,
UF 8734,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Columbia county,M,,,1,entoconid,1,,,0,entoconid,0,,,,,,,,,,,,,,,,,,9.75,9.55,9.08,7.84,7.84,6.3,,,,,0.97948718,0.86343612,0.80357143,,,,,,,,,,,,,,
UF 8734,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Columbia county,,1,metaconid,1,metaconid,1,1,entoconid,1,entoconid,1,,,,,,,,,,,,,,,,,,8.82,9.53,9.49,8.83,8.31,6.6,,,,,1.08049887,0.93045311,0.79422383,,,,,,,,,,,,,,
UF 8736,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Levy county,,2,metaconid,,,2,2,metaconid,,,2,1,metaconid,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 8736,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Levy county,,1,metaconid,,,1,1,metaconid,,,1,1,metaconid,,1,,,,,,,,,,,,,,10.04,11.38,9.71,10.79,9.04,8.55,16.62,,22.5,,1.13346614,1.11122554,0.94579646,0.64921781,,,,,,,,,,,,,
UF 8736,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Levy county,,1,metaconid,,,1,1,metaconid,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 8736,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Levy county,,0,metaconid,1,entoconid,0.5,1,metaconid,0,metaconid,0.5,0,metaconid,0,0,metaconid,,,,,,,,,,,,,10.4,9.64,11.39,10.13,7.59,8.81,15.93,16.21,20.04,19.85,0.92692308,0.88937665,1.16073781,0.635907094,,,,,,,,,,,,,
UF 8736,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Levy county,,1,entoconid,1,entoconid,1,0,metaconid,0,metaconid,0,0,entoconid,0,0,metaconid,,,,,,,,,,,,,8.63,10.71,9.73,10.65,8.07,8.58,13.92,13.64,19.1,19.09,1.2410197,1.09455293,1.06319703,0.765086207,,,,,,,,,,,,,
UF 8736,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Levy county,,0,entoconid,,,0,0,entoconid,1,entoconid,0.5,0,entoconid,0,0,metaconid,,,,,,,,,,,,,9.84,10.19,9.77,10.77,8.59,8.4,16.92,17.3,21.94,21.62,1.03556911,1.10235415,0.97788126,0.636524823,,,,,,,,,,,,,
UF 8736,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Levy county,,,,,,,1,entoconid,1,entoconid,1,1,metaconid,1,1,metaconid,,,,,,,,,,,,,10.27,12.47,10.85,11.89,,,17.84,17.01,22.12,22.07,1.21421616,1.09585253,,0.666479821,,,,,,,,,,,,,
UF 8736,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Levy county,,0,entoconid,0,metaconid,0,1,entoconid,0,entoconid,0.5,0,metaconid,0,0,metaconid,,,,,,,,,,,,,9.4,10.37,9.62,11.61,7.73,10.16,15.69,15.79,18.84,19.47,1.10319149,1.20686071,1.31435964,0.739961759,,,,,,,,,,,,,
UF 8736,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Levy county,,,,,,,,,0,entoconid,0,0,metaconid,0,0,metaconid,,,,,,,,,,,,,10.24,11.98,10.07,11.55,,,16,15.88,18.62,18.7,1.16992188,1.1469712,,0.721875,,,,,,,,,,,,,
UF 8736,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Levy county,,,,,,,0,metaconid,0,entoconid,0,0,metaconid,0,0,metaconid,,,,,,,,,,,,,9.66,11.02,9.36,10.05,,,14.39,15.48,19.3,19.41,1.14078675,1.07371795,,0.698401668,,,,,,,,,,,,,
UF 8740,Odocoileus virginianus,,9.3.3,Mixed Plains,393,,WY,Niobrara county,,,,,,,1,entoconid,1,metaconid,1,0,entoconid,,0,,1,metacone,1,metacone,1,metacone,1,metacone,0,metacone,0,paracone,12.04,14.81,11.41,11.94,9.89,8.81,19.41,,23.97,,1.23006645,1.04645048,0.89079879,0.615146832,,39.56,,,,,75.11,61.21,30.69,25.15,232.21,,
UF 9507,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,M,1,metaconid,,,1,1,metaconid,1,metaconid,1,0,entoconid,0,0,entoconid,,,,,,,,,,,,,9.77,10.3,9.78,11.17,8.94,7.98,15.54,16.53,19.61,20.2,1.0542477,1.14212679,0.89261745,0.718790219,,,,,,,,,,,,,
UF 9508,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,,,,1,metaconid,1,0,entoconid,0,entoconid,0,0,entoconid,0,0,metaconid,,,,,,,,,,,,,9.52,8.24,9.35,8.29,7.9,8.62,15.51,15.64,20.32,19.25,0.86554622,0.88663102,1.09113924,0.534493875,,,,,,,,,,,,,
UF 9508,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,,1,metaconid,,,1,1,metaconid,,,1,0,metaconid,,0,,,,,,,,,,,,,,9.36,10.24,10.12,11.17,9.38,8.38,,,,,1.09401709,1.10375494,0.89339019,,,,,,,,,,,,,,
UF 9508,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,,2,entoconid,,,2,1,metaconid,1,metaconid,1,0,entoconid,0,0,metaconid,,,,,,,,,,,,,10.95,9.96,10.95,11.22,,,16.9,15.87,20.82,19.31,0.90958904,1.02465753,,0.663905325,,,,,,,,,,,,,
UF 9508,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,,1,entoconid,0,entoconid,0.5,0,entoconid,0,entoconid,0,0,metaconid,0,0,metaconid,,,,,,,,,,,,,10.67,13.04,10.46,11.76,9.02,9.61,16.73,17.52,23.18,22.65,1.22211809,1.12428298,1.0654102,0.70292887,,,,,,,,,,,,,
UF 9508,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,,3,entoconid,,,3,3,entoconid,1,metaconid,2,,,1,1,entoconid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 9508,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,,,,2,metaconid,2,0,metaconid,1,metaconid,0.5,1,metaconid,1,1,metaconid,,,,,,,,,,,,,9.43,10.71,10.24,11.08,,,15.95,16.41,19.6,20.37,1.13573701,1.08203125,,0.694670846,,,,,,,,,,,,,
UF 9508,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,,2,metaconid,2,metaconid,2,1,metaconid,1,metaconid,1,0,metaconid,0,0,metaconid,,,,,,,,,,,,,11,9.74,10.77,10.54,,,15.22,15.84,20.68,18.93,0.88545455,0.97864438,,0.692509855,,,,,,,,,,,,,
UF 9509,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,,,,,,,,,1,entoconid,1,,,1,1,entoconid,,,,,,,,,,,,,11.62,11.26,11.02,10.81,,,,17.71,,21.66,0.96901893,0.98094374,,,,,,,,,,,,,,,
UF 9510,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Volusia county,,1,metaconid,,,1,1,metaconid,,,1,0,metaconid,,0,,,,,,,,,,,,,,11.11,10.73,10.97,9.91,9.62,8.06,15.16,,19.38,,0.96579658,0.90337284,0.83783784,0.653693931,,,,,,,,,,,,,
UF 9516,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Volusia county,M,,,1,entoconid,1,0,metaconid,0,entoconid,0,1,metaconid,0,0.5,metaconid,,,,,,,,,,,,,9.99,10.8,9.69,11.59,8.83,8.45,16.21,,22.3,,1.08108108,1.19607843,0.95696489,0.714990746,,,,,,,,,,,,,
UF 9518,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Volusia county,M,1,metaconid,0,metaconid,0.5,0,entoconid,1,entoconid,0.5,1,metaconid,,1,,,,,,,,,,,,,,9.64,10.03,10.2,10.59,9.25,7.95,16.38,,21.95,,1.04045643,1.03823529,0.85945946,0.646520147,,,,,,,,,,,,,
UF 9519,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Volusia county,M,1,entoconid,,,1,0,metaconid,0,metaconid,0,0,metaconid,0,0,metaconid,,,,,,,,,,,,,10.33,10.33,10.1,10.54,8.72,8.73,15.82,,21.86,,1,1.04356436,1.00114679,0.666245259,,,,,,,,,,,,,
UF 9521,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Volusia county,,1,metaconid,1,entoconid,1,0,metaconid,0,metaconid,0,0,metaconid,0,0,entoconid,,,,,,,,,,,,,10.69,10.96,10.35,10,9.14,8.67,15.89,,21.83,,1.02525725,0.96618357,0.94857768,0.629326621,,,,,,,,,,,,,
UF 9522,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Volusia county,,0,entoconid,0,entoconid,0,0,metaconid,0,metaconid,0,1,metaconid,0,0.5,entoconid,,,,,,,,,,,,,10.13,10.68,10.53,11.28,9.86,8.72,17.43,,21.32,,1.05429418,1.07122507,0.88438134,0.647160069,,,,,,,,,,,,,
UF 9523,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Volusia county,,,,,,,,,1,metaconid,1,,,0,0,metaconid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 9524,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Volusia county,,1,entoconid,,,1,0,entoconid,,,0,1,metaconid,,1,,,,,,,,,,,,,,9.9,10.8,10.02,10.82,8.87,8.87,14.92,,18.83,,1.09090909,1.07984032,1,0.725201072,,,,,,,,,,,,,
UF 9525,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Volusia county,M,1,entoconid,,,1,0,entoconid,0,entoconid,0,0,metaconid,0,0,metaconid,,,,,,,,,,,,,9.36,8.86,9.94,8.57,8.61,6.7,14.42,,18.62,,0.9465812,0.86217304,0.77816492,0.594313454,,,,,,,,,,,,,
UF 9527,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Volusia county,,,,,,,1,entoconid,1,entoconid,1,1,entoconid,0,0.5,metaconid,,,,,,,,,,,,,10.88,10.62,10.95,11,10.07,7.56,15.95,,22.16,,0.97610294,1.00456621,0.75074479,0.689655172,,,,,,,,,,,,,
UF 9528,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Volusia county,,1,entoconid,1,metaconid,1,0,entoconid,0,entoconid,0,0,metaconid,0,0,entoconid,,,,,,,,,,,,,10.19,9.45,9.75,10.45,8.47,7.98,15.8,,22.52,,0.92737978,1.07179487,0.94214876,0.661392405,,,,,,,,,,,,,
UF 9529,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Volusia county,,1,metaconid,,,1,0,metaconid,0,entoconid,0,0,metaconid,0,0,entoconid,,,,,,,,,,,,,,9.5,9.73,10.47,8.68,7.52,14.84,,20.93,,0.95190381,1.07605344,0.86635945,0.705525606,,,,,,,,,,,,,
UF 9530,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Volusia county,M,,,1,entoconid,1,,,1,entoconid,1,1,metaconid,1,1,metaconid,,,,,,,,,,,,,10.76,11.4,10.81,10.65,9.46,8.32,,16.82,,22.11,1.05947955,0.98519889,0.8794926,,,,,,,,,,,,,,
UF 9532,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Volusia county,,1,metaconid,1,metaconid,1,1,metaconid,0,metaconid,0.5,,,0,0,metaconid,,,,,,,,,,,,,10.3,10.65,10.08,9.64,9.32,6.72,16.54,,19.35,,1.03398058,0.95634921,0.72103004,0.582829504,,,,,,,,,,,,,
UF 9533,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Volusia county,M,1,metaconid,1,metaconid,1,0,entoconid,0,entoconid,0,0,entoconid,0,0,entoconid,,,,,,,,,,,,,10.66,11.35,10.1,11.46,9.2,8.09,16.67,,21.43,,1.06472795,1.13465347,0.87934783,0.687462507,,,,,,,,,,,,,
UF 9534,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Volusia county,M,1,metaconid,1,metaconid,1,0,entoconid,0,metaconid,0,1,entoconid,,1,,,,,,,,,,,,,,10,11.03,9.91,10.18,8.72,8.17,14.95,,18.95,,1.103,1.02724521,0.93692661,0.680936455,,,,,,,,,,,,,
UF 9536,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Volusia county,,,,1,entoconid,1,,,0,entoconid,0,,,0,0,metaconid,,,,,,,,,,,,,11.1,9.27,10.84,9.77,9.62,7.74,,15.89,,20.95,0.83513514,0.90129151,0.8045738,,,,,,,,,,,,,,
UF 9537,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Volusia county,,0,metaconid,1,entoconid,0.5,0,metaconid,0,metaconid,0,0,metaconid,0,0,entoconid,,,,,,,,,,,,,9.11,9.7,9.7,9.95,8.87,8.27,15.21,,20.59,,1.064764,1.0257732,0.93235626,0.654174885,,29.85,,,,,70.73,47.75,27.19,21.1,203.6,99.35,
UF 9537,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Volusia county,,1,entoconid,0,entoconid,0.5,0,metaconid,0,metaconid,0,0,metaconid,0,0,metaconid,,,,,,,,,,,,,10.36,10.19,10.4,10.75,8.82,7.31,16.51,,22.45,,0.98359073,1.03365385,0.82879819,0.651120533,,33.88,,,,,70.18,50.01,27.31,20,209.08,91.22,
UF 9538,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,M,1,entoconid,,,1,1,entoconid,,,1,1,entoconid,,1,,,,,,,,,,,,,,9.97,11.96,10.08,11.24,8.91,9.25,15.18,,20.24,,1.1995988,1.11507937,1.03815937,0.740447958,,,,,,,,,,,,,
UF 9540,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,,1,metaconid,,,1,1,metaconid,,,1,0,metaconid,1,0.5,metaconid,,,,,,,,,,,,,10.18,9.74,10.04,9.81,8.77,8.1,15.56,16.13,20,20.13,0.956778,0.97709163,0.92360319,0.630462725,,,,,,,,,,,,,
UF 9542,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,M,1,entoconid,1,metaconid,1,0,entoconid,1,metaconid,0.5,0,metaconid,0,0,metaconid,,,,,,,,,,,,,9.43,12,9.74,10.99,8.82,8.01,15.57,15.44,19.25,19.25,1.27253446,1.12833676,0.90816327,0.705844573,,,,,,,,,,,,,
UF 9543,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,M,,,1,metaconid,1,0,metaconid,0,metaconid,0,0,entoconid,0,0,entoconid,,,,,,,,,,,,,10.02,10.76,10.52,11.53,9.31,8.98,15.99,16.62,20.81,20.88,1.0738523,1.0960076,0.96455424,0.721075672,,,,,,,,,,,,,
UF 9545,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,M,1,entoconid,1,metaconid,1,1,entoconid,0,entoconid,0.5,0,entoconid,0,0,entoconid,,,,,,,,,,,,,10.67,11.83,10.79,10.91,8.83,8.06,15.31,15.45,19.87,20.23,1.10871603,1.01112141,0.91279728,0.71260614,,,,,,,,,,,,,
UF 9546,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,M,1,metaconid,1,metaconid,1,1,metaconid,1,metaconid,1,1,metaconid,1,1,metaconid,,,,,,,,,,,,,9.8,11.23,10.13,10.39,8.53,8.33,16.45,17.05,20.27,20.47,1.14591837,1.02566634,0.97655334,0.631610942,,,,,,,,,,,,,
UF 9547,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,M,1,entoconid,1,entoconid,1,,,0,entoconid,0,1,entoconid,0,0.5,entoconid,,,,,,,,,,,,,10.37,10.62,11.31,10.22,9.68,8.96,,16.03,,20.95,1.024108,0.90362511,0.92561983,,,,,,,,,,,,,,
UF 9548,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,M,1,metaconid,1,metaconid,1,0,entoconid,0,metaconid,0,0,metaconid,0,0,metaconid,,,,,,,,,,,,,9.3,11.3,9.5,10.29,8.52,7.77,15.59,16.03,19.53,19.33,1.21505376,1.08315789,0.91197183,0.660038486,,,,,,,,,,,,,
UF 9550,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,M,1,metaconid,,,1,1,metaconid,,,1,0,entoconid,,0,,,,,,,,,,,,,,9.69,10.95,9.77,8.94,8.56,6.37,16.08,,21.75,,1.13003096,0.91504606,0.74415888,0.555970149,,,,,,,,,,,,,
UF 9551,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Union county,,1,metaconid,1,metaconid,1,1,metaconid,1,metaconid,1,0,metaconid,0,0,entoconid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 9551,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Union county,,,,1,metaconid,1,1,metaconid,0,metaconid,0.5,,,1,1,metaconid,,,,,,,,,,,,,9.65,10.15,9.96,9.12,8.79,7.02,15.35,,20.2,,1.05181347,0.91566265,0.79863481,0.594136808,,,,,,,,,,,,,
UF 9551,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Union county,,1,metaconid,1,metaconid,1,1,metaconid,1,metaconid,1,1,metaconid,1,1,metaconid,,,,,,,,,,,,,9.72,11.55,9.58,10.65,7.69,7.41,15.67,,20.83,,1.1882716,1.11169102,0.96358908,0.679642629,,,,,,,,,,,,,
UF 9551,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Union county,,1,entoconid,1,entoconid,1,1,metaconid,0,metaconid,0.5,1,metaconid,0,0.5,metaconid,,,,,,,,,,,,,10.11,9.48,9.99,9.82,8.36,7.01,15.23,,19.85,,0.93768546,0.98298298,0.83851675,0.644780039,,,,,,,,,,,,,
UF 9551,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Union county,,1,metaconid,1,metaconid,1,0,metaconid,0,metaconid,0,0,metaconid,1,0.5,metaconid,,,,,,,,,,,,,9.9,13.4,10.18,11.29,8.7,9.84,15.76,,20.39,,1.35353535,1.10903733,1.13103448,0.716370558,,,,,,,,,,,,,
UF 9551,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Union county,,,,,,,,,1,metaconid,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
