Catalogue Number,Taxon,date ,ecological zone,Zones,meanannual,subspecies,State,county,Sex,Mesowear Score m1 (R),Part Scored,Mesowear Score m1 (L),Part Scored,AverageMSm1,Mesowear Score m2 (R),Part Scored,Mesowear Score m2 (L),Part Scored,AverageMSm2,Mesowear Score m3 (R),Part Scored,Mesowear Score m3 (L),AverageMSm3,Part Scored,Mesowear Score M1 (R),Part Scored,Mesowear Score M1 (L),Part Scored,Mesowear Score M2 (R),Part Scored,Mesowear Score M2 (L),part scored,Mesowear score M3 (R),Part Scored,Mesowear Score M3 (L),Part Scored,Man m3 Width mm,Man m3 Height mm,Man m2 width ,Man m2 Height ,Man m1 width ,Man m1 Height ,m2 mesiodistal length (R),m2 mesiodistal length (L),m3 mesiodistal length (R),m3 mesiodistal length (L),HIm3,HIm2,HIm1,Height / Mesiodistal Length m2,Left Premolar Row Length (Maxilla) mm,Left Premolar Row Length (Mandible) mm,Skull Length mm,Muzzle Width mm,Palate Width mm,Anterior Jaw Maxilla mm,Anterior Jaw Mandible mm,Length of Molar Row (L Man) (mm),Height of Man behind M3 L (mm),Height of Man infront M1 L (mm),Length of L Man (mm),gonion ventrale–coronion L Man (mm),
FMNH 105773,Odocoileus virginianus,,8.1.5,Mixed Plains,825,borealis,wisconsin,wisconsin deer management unit #55,F,1,entoconid,1,entoconid,1,1,metaconid,1,metaconid,1,0,metaconid,0,0,metaconid,,,1,paracone,,,1,paracone,0,metacone,1,metacone,9.88,12.46,10.53,12.24,9,8.62,16.64,,9.45,,1.261133603,1.162393162,0.957777778,0.735576923,36.49,33.12,274.17,44.8,47.17,88.78,71.34,49.25,29.55,18.89,219.02,100.33,
FMNH 134440,Odocoileus virginianus,Dec-85,5.2.1,Closed Woodlands,768,borealis,wisconsin,Langlade county,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,,10.75,12.65,9.63,8.12,16.27,,20.93,,,1.176744186,0.843198339,0.77750461,,,,,,,,,,,,,
FMNH 134441,Odocoileus virginianus,Dec-85,5.2.1,Closed Woodlands,768,borealis,wisconsin,Langlade county,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.91,,10.74,14.28,10,11.41,17.61,,21.76,,,1.329608939,1.141,0.810902896,,,,,,,,,,,,,
FMNH 14231,Odocoileus virginianus,4-Jun-01,,Closed Woodlands,3500,rothschildi,panama,Coiba I,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.86,10.73,,,,,,,18.11,,1.211060948,,,,,,,,,,,,,,,,
FMNH 14430,Odocoileus virginianus,2-Oct-04,10.2.4,Grassland,340,carminis,mexico,"Coahuila, Jaral",F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.44,13.31,,,17.3,,,,,1.274904215,,0.769364162,,,,,,,,,,,,,
FMNH 14433,Odocoileus hemionus ,Nov-04,10.2.4,Grassland,340,crooki,Mexico,"Coahuila, Jaral",M,,,,,,1,metaconid,1,metaconid,1,,,1,1,metaconid,1,paracone,1,metacone,1,paracone,1,paracone,1,paracone,1,metacone,11.25,14.54,11.34,12.7,,,22.64,,18.17,,1.292444444,1.119929453,,0.560954064,,,,,,,,,,,,,
FMNH 14437,Odocoileus hemionus ,10-Nov-04,10.2.4,Grassland,340,crooki,mexico,"coahuila, cuatro cienegas",F,1,metaconid,1,metaconid,1,1,metaconid,1,entoconid,1,1,metaconid,0,0.5,entoconid,1,paracone,1,paracone,1,metacone,1,metacone,1,metacone,0,metacone,9.57,14.71,10.7,12.04,9.29,9.53,17.66,,21.22,,1.537095089,1.125233645,1.02583423,0.681766704,38.02,37.7,267.5,49.84,49.9,86.71,71.57,54.57,34.1,23.43,216.26,111.35,
FMNH 14442,Odocoileus virginianus,12-Aug-04,13.2.1,Mixed Woodlands,60,couesi,Mexico,"Durango, coyotes",M,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.86,12.07,7.96,11.13,7.45,8.92,13.77,,17.48,,1.53562341,1.398241206,1.197315436,0.808278867,,,,,,,,,,,,,
FMNH 14446,Odocoileus virginianus,23-Aug-04,13.2.1,Mixed Woodlands,60,couesi,Mexico,"Durango, coyotes",F,,,1,metaconid,1,,,1,entoconid,1,,,1,1,entoconid,,,1,paracone,,,0,metacone,,,0,paracone,8.49,10.58,8.49,10.28,8.48,8.72,13.43,,16.59,,1.246171967,1.210836278,1.028301887,0.765450484,,,,,,,,,,,,,
FMNH 14447,Odocoileus virginianus,aug 5 1904,13.2.1,Mixed Woodlands,60,couesi,Mexico,"Durango, coyotes",M,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.09,11.18,9.12,9.61,,,14.75,,16.95,,1.381953028,1.05372807,,0.651525424,,,,,,,,,,,,,
FMNH 14448,Odocoileus virginianus,5-Aug-04,13.2.1,Mixed Woodlands,60,couesi ,Mexico,"Durango, coyotes",M,,,,,,1,metacoid,1,metaconid,1,1,metaconid,1,1,metaconid,,,,,1,paracone,1,paracone,1,paracone,1,paracone,9.09,11.08,9.53,9.72,8.55,7.96,13.77,,18.4,,1.218921892,1.019937041,0.930994152,0.705882353,,,,,,,,,,,,,
FMNH 14450,Odocoileus hemionus ,12-Dec-04,10.2.4,Grassland,340,crooki,mexico,"coahuila, cuatro cienegas",F,1,metaconid,,,1,1,entoconid,1,entoconid,1,1,metaconid,1,1,metaconid,1,metacone,1,metacone,1,metacone,1,metacone,,,0,paracone,10.33,12.97,11.03,14.24,,,17.04,,21.42,,1.255566312,1.291024479,,0.835680751,39.16,36.93,254.73,39.61,42.72,76.7,62.55,52.5,36.8,21.98,203.34,97.69,
FMNH 14452,Odocoileus hemionus ,15-Dec-04,10.2.4,Grassland,340,crooki,Mexico,"coahuila, cuatro cienegas",M,1,entoconid,1,entoconid,1,1,ento,1,entoconid,1,1,metaconid,,1,,1,metacone,1,met,1,met,1,metacone,1,paracone,,,9.97,14.57,10.78,13.77,10.19,10.35,17.18,,21.77,,1.461384152,1.277365492,1.015701668,0.801513388,37.28,37.29,283.79,51.77,54.07,86.7,74.75,56.49,35.1,25.77,224.88,115.81,
FMNH 14453,Odocoileus hemionus ,15 ndec 1904,10.2.4,Grassland,340,crooki,Mexico,"coahuila, cuatro cienegas",M,1,entoconid,1,entoconid,1,1,entoconid,1,entoconid,1,1,metaconid,1,1,metaconid,1,metacone,1,metacone,1,metacone,1,metacone,1,paracone,1,paracone,10.96,15.57,11.39,12.38,10.33,8.78,18.48,,21.77,,1.420620438,1.086918349,0.849951597,0.66991342,39.67,37.19,291.68,49.06,50.92,82.85,76.96,56.29,38.53,26.84,229.84,118.55,
FMNH 14455,Odocoileus hemionus ,15-Dec-04,10.2.4,Grassland,340,crooki,Mexico,"coahuila, cuatro cienegas",M,1,metaconid,,,1,1,metaconid,1,metaconid,1,1,entoconid,1,1,entoconid,1,paracone,1,paracone,1,paracone,1,paracone,1,paracone,1,paracone,10.99,15.68,10.79,12.18,9.34,8.91,16.94,,22.8,,1.426751592,1.128822984,0.953961456,0.719008264,37.06,34.4,296.87,48.16,52.53,94.87,78.39,53.54,36.08,27.28,228.28,120.3,
